gid_1,cgfr_10
GNB.1_1,0.451
GNB.2_1,0.4733
GNB.3_1,0.4487
GNB.5_1,0.5099
GNB.6_1,0.453
GNB.7_1,0.4711
GNQ.2_1,0.8053
GNQ.5_1,0.581
GNQ.6_1,0.7664
GNQ.7_1,0.7046
GRD.2_1,0.7197
GRD.3_1,0.6963
GRD.4_1,0.7455
GRD.7_1,0.7422
GTM.10_1,0.6543
GTM.11_1,0.6514
GTM.12_1,0.645
GTM.13_1,0.6615
GTM.14_1,0.6316
GTM.15_1,0.6466
GTM.16_1,0.6448
GTM.17_1,0.6644
GTM.18_1,0.6516
GTM.19_1,0.6466
GTM.1_1,0.6177
GTM.20_1,0.6439
GTM.22_1,0.6719
GTM.2_1,0.6477
GTM.3_1,0.6364
GTM.4_1,0.6763
GTM.5_1,0.6458
GTM.6_1,0.6312
GTM.7_1,0.69
GTM.8_1,0.6241
GTM.9_1,0.684
GUY.10_1,0.7336
GUY.1_1,0.786
GUY.2_1,0.8147
GUY.3_1,0.7335
GUY.4_1,0.7335
GUY.5_1,0.7426
GUY.6_1,0.7331
GUY.7_1,0.7408
HND.10_1,0.7544
HND.11_1,0.6849
HND.12_1,0.72
HND.13_1,0.7175
HND.14_1,0.692
HND.15_1,0.6984
HND.16_1,0.7082
HND.17_1,0.7145
HND.18_1,0.697
HND.1_1,0.743
HND.2_1,0.7239
HND.3_1,0.7026
HND.4_1,0.6946
HND.5_1,0.7162
HND.6_1,0.7226
HND.7_1,0.7217
HND.8_1,0.7385
HND.9_1,0.7872
HTI.1_1,0.7697
HTI.4_1,0.8267
HTI.5_1,0.6885
HTI.6_1,0.7278
HTI.9_1,0.7954
IDN.11_1,0.4519
IDN.14_1,0.4854
IDN.17_1,0.4895
IDN.19_1,0.57
IDN.1_1,0.4596
IDN.20_1,0.5017
IDN.21_1,0.589
IDN.23_1,0.5039
IDN.24_1,0.4979
IDN.25_1,0.523
IDN.27_1,0.5091
IDN.29_1,0.5066
IDN.2_1,0.4367
IDN.30_1,0.4982
IDN.31_1,0.4977
IDN.32_1,0.5337
IDN.33_1,0.4202
IDN.3_1,0.4799
IDN.4_1,0.4641
IDN.5_1,0.4888
IDN.6_1,0.5365
IDN.7_1,0.5274
IDN.8_1,0.4861
IDN.9_1,0.4666
IND.10_1,0.3723
IND.11_1,0.3384
IND.12_1,0.3158
IND.13_1,0.42
IND.15_1,0.4328
IND.16_1,0.3527
IND.17_1,0.3694
IND.18_1,0.3063
IND.19_1,0.3355
IND.1_1,0.4739
IND.20_1,0.3146
IND.21_1,0.4339
IND.22_1,0.628
IND.23_1,0.6099
IND.24_1,0.553
IND.25_1,0.4297
IND.26_1,0.4318
IND.27_1,0.2721
IND.28_1,0.2957
IND.29_1,0.2966
IND.2_1,0.3082
IND.30_1,0.535
IND.31_1,0.3284
IND.32_1,0.2742
IND.33_1,0.5473
IND.34_1,0.3595
IND.35_1,0.3565
IND.36_1,0.483
IND.3_1,0.5132
IND.4_1,0.4871
IND.5_1,0.4387
IND.6_1,0.3475
IND.7_1,0.3661
IND.8_1,0.3664
IND.9_1,0.4307
JAM.10_1,0.7226
JAM.11_1,0.7389
JAM.12_1,0.7729
JAM.13_1,0.7448
JAM.14_1,0.723
JAM.1_1,0.7765
JAM.2_1,0.7181
JAM.3_1,0.6806
JAM.4_1,0.767
JAM.5_1,0.7636
JAM.6_1,0.7594
JAM.7_1,0.7509
JAM.8_1,0.7753
JAM.9_1,0.7556
KAZ.10_1,0.4591
KAZ.11_1,0.4332
KAZ.12_1,0.4007
KAZ.13_1,0.4072
KAZ.1_1,0.4738
KAZ.2_1,0.4593
KAZ.4_1,0.3862
KAZ.5_1,0.4966
KAZ.6_1,0.3424
KAZ.7_1,0.4917
KAZ.8_1,0.4784
KAZ.9_1,0.4546
KEN.30_1,0.7073
KGZ.1_1,0.2894
KGZ.2_1,0.416
KGZ.4_1,0.3439
KGZ.5_1,0.4551
KGZ.7_1,0.3003
KGZ.8_1,0.3996
KHM.10_1,0.6233
KHM.12_1,0.6173
KHM.16_1,0.5956
KHM.18_1,0.5949
KHM.19_1,0.5927
KHM.1_1,0.6016
KHM.20_1,0.6008
KHM.22_1,0.5932
KHM.23_1,0.5937
KHM.25_1,0.6073
KHM.2_1,0.5802
KHM.3_1,0.6013
KHM.4_1,0.6104
KHM.5_1,0.6115
KHM.6_1,0.597
KHM.9_1,0.6136
LAO.10_1,0.4957
LAO.11_1,0.5199
LAO.12_1,0.5238
LAO.13_1,0.5475
LAO.14_1,0.5095
LAO.18_1,0.5673
LAO.1_1,0.5329
LAO.2_1,0.5176
LAO.3_1,0.5088
LAO.4_1,0.5482
LAO.5_1,0.5152
LAO.6_1,0.5284
LAO.7_1,0.49370000000000003
LAO.8_1,0.5289
LAO.9_1,0.4892
LBR.10_1,0.6885
LBR.11_1,0.6756
LBR.12_1,0.671
LBR.15_1,0.6594
LBR.2_1,0.6578
LBR.3_1,0.6131
LBR.5_1,0.6787
LBR.7_1,0.684
LBR.8_1,0.6314
LBR.9_1,0.5841
LBY.10_1,0.1534
LBY.11_1,0.159
LBY.12_1,0.1425
LBY.14_1,0.1211
LBY.15_1,0.1241
LBY.16_1,0.1409
LBY.17_1,0.1138
LBY.18_1,0.1063
LBY.1_1,0.1233
LBY.20_1,0.1723
LBY.22_1,0.1216
LBY.2_1,0.1205
LBY.3_1,0.1096
LBY.4_1,0.1634
LBY.5_1,0.1357
LBY.7_1,0.0941
LBY.9_1,0.0941
LSO.10_1,0.6712
LSO.1_1,0.6433
LSO.2_1,0.7766
LSO.3_1,0.6305
LSO.4_1,0.6397
LSO.5_1,0.6492
LSO.7_1,0.6487
LSO.9_1,0.6618
MAR.10_1,0.374
MAR.11_1,0.3656
MAR.12_1,0.2792
MAR.13_1,0.2952
MAR.14_1,0.2946
MAR.15_1,0.2682
MAR.1_1,0.2948
MAR.2_1,0.2736
MAR.3_1,0.3365
MAR.4_1,0.3194
MAR.5_1,0.3813
MAR.6_1,0.2695
MAR.7_1,0.3362
MAR.8_1,0.3106
MAR.9_1,0.3118
MDA.10_1,0.5104
MDA.11_1,0.5175
MDA.12_1,0.5279
MDA.13_1,0.5466
MDA.14_1,0.5312
MDA.15_1,0.5327
MDA.17_1,0.5519
MDA.18_1,0.5468
MDA.19_1,0.4246
MDA.1_1,0.5325
MDA.20_1,0.5473
MDA.21_1,0.5162
MDA.22_1,0.516
MDA.23_1,0.5108
MDA.24_1,0.5064
MDA.26_1,0.5273
MDA.27_1,0.5315
MDA.29_1,0.5409
MDA.2_1,0.5221
MDA.30_1,0.5704
MDA.31_1,0.5545
MDA.32_1,0.5419
MDA.33_1,0.5184
MDA.34_1,0.4425
MDA.35_1,0.534
MDA.36_1,0.5054
MDA.37_1,0.5253
MDA.3_1,0.5025
MDA.5_1,0.5177
MDA.6_1,0.4957
MDA.8_1,0.5132
MDG.2_1,0.7127
MDG.3_1,0.6636
MDG.5_1,0.687
MEX.10_1,0.6616
MEX.11_1,0.6548
MEX.12_1,0.6697
MEX.13_1,0.7186
MEX.14_1,0.6664
MEX.15_1,0.741
MEX.16_1,0.647
MEX.17_1,0.6911
MEX.18_1,0.6392
MEX.19_1,0.633
MEX.1_1,0.646
MEX.20_1,0.6827
MEX.21_1,0.73740000000000006
MEX.22_1,0.6846
MEX.23_1,0.7002
MEX.24_1,0.6489
MEX.25_1,0.6532
MEX.26_1,0.6436
MEX.27_1,0.7081
MEX.28_1,0.6442
MEX.29_1,0.7534
MEX.2_1,0.6341
MEX.30_1,0.6997
MEX.31_1,0.652
MEX.32_1,0.637
MEX.3_1,0.643
MEX.4_1,0.6814
MEX.5_1,0.697
MEX.7_1,0.6341
MEX.8_1,0.6489
MEX.9_1,0.7556
MLI.1_1,0.3583
MLI.2_1,0.3571
MLI.3_1,0.3439
MLI.5_1,0.3585
MLI.6_1,0.3023
MLI.7_1,0.381
MLI.8_1,0.3615
MNE.13_1,0.3778
MNE.14_1,0.4216
MNE.15_1,0.4695
MNE.16_1,0.4533
MNE.17_1,0.3501
MNE.19_1,0.4613
MNE.1_1,0.4069
MNE.20_1,0.3482
MNE.21_1,0.4416
MNE.2_1,0.4437
MNE.3_1,0.4175
MNE.4_1,0.4164
MNE.5_1,0.4611
MNE.6_1,0.459
MNE.7_1,0.4479
MNE.8_1,0.4654
MNE.9_1,0.456
MNG.10_1,0.6387
MNG.11_1,0.6583
MNG.15_1,0.6238
MNG.17_1,0.6329
MNG.18_1,0.6097
MNG.1_1,0.6297
MNG.20_1,0.6438
MNG.21_1,0.5855
MNG.22_1,0.6225
MNG.2_1,0.5988
MNG.3_1,0.6431
MNG.4_1,0.6411
MNG.5_1,0.5933
MNG.6_1,0.6088
MNG.7_1,0.6045
MNG.8_1,0.6391
MOZ.10_1,0.4821
MOZ.11_1,0.5072
MOZ.1_1,0.4744
MOZ.2_1,0.6252
MOZ.3_1,0.6216
MOZ.4_1,0.5135
MOZ.6_1,0.6003
MOZ.7_1,0.5
MOZ.9_1,0.4928
MRT.10_1,0.4512
MRT.11_1,0.4735
MRT.12_1,0.4216
MRT.13_1,0.4666
MRT.1_1,0.4498
MRT.2_1,0.3975
MRT.3_1,0.4227
MRT.4_1,0.4727
MRT.6_1,0.5408
MRT.7_1,0.357
MRT.8_1,0.4243
MRT.9_1,0.3824
MUS.12_1,0.5799
MUS.3_1,0.6001
MUS.4_1,0.6027
MUS.5_1,0.5898
MUS.6_1,0.5951
MUS.7_1,0.6244
MUS.8_1,0.6064
MUS.9_1,0.59
MWI.11_1,0.5312
MWI.12_1,0.5111
MWI.13_1,0.535
MWI.14_1,0.521
MWI.15_1,0.5521
MWI.16_1,0.5852
MWI.17_1,0.5732
MWI.18_1,0.6211
MWI.19_1,0.6214
MWI.1_1,0.518
MWI.20_1,0.5288
MWI.21_1,0.4946
MWI.22_1,0.5557
MWI.23_1,0.564
MWI.24_1,0.5286
MWI.25_1,0.5832
MWI.26_1,0.5396
MWI.27_1,0.624
MWI.28_1,0.5759
MWI.2_1,0.5423
MWI.3_1,0.5688
MWI.4_1,0.6208
