gid_1,country,perc_used_internet_past12months_wght_age_15_to_49_wom,perc_used_internet_past12months_wght_age_15_to_49_fm_ratio,hdi_national,gdi_national,subnational_gdi,subnational_hdi_females,subnational_hdi_males,nl_mean_zscore,pop_density_zscore,fb_pntr_18p_female,fb_pntr_18p_male,fb_pntr_18p_fm_ratio
BEN.8_1,Benin,0.287257136293452,0.437680490175546,0.505,0.849,0.889,0.587,0.661,2.6595776063496936,8.376090624677513,0.364709234055452,1,0.336784943831334
BEN.9_1,Benin,0.04369411252247499,0.204510859815343,0.505,0.849,0.844,0.482,0.571,-0.2377567836214081,-0.00153760566169213,0.0203608323145796,0.0706655234479594,0.349296024642499
BEN.10_1,Benin,0.0765413679203135,0.319334945327143,0.505,0.849,0.888,0.524,0.591,-0.07449269243234208,0.5346978549164563,0.0526755326922923,0.173782308745488,0.349372749458106
BEN.11_1,Benin,0.0365975863199748,0.265334989906939,0.505,0.849,0.888,0.524,0.591,-0.25630964000871925,-0.11667193262499556,0.0128049764905815,0.0493448595344524,0.314154282400906
BEN.12_1,Benin,0.0387825972783988,0.167839100691537,0.505,0.849,0.857,0.494,0.577,-0.25401429013751814,-0.14030955391710462,0.0253718605045323,0.0929391876685678,0.337411571413188
BFA.1_1,Burkina Faso,0.0667426272976986,0.323987982002298,0.445,0.88,0.913,0.395,0.432,-0.2660091143131744,-0.25329993347878577,0.0301425308795425,0.0995576843888375,NA
BFA.2_1,Burkina Faso,0.120145699779722,0.236441916716789,0.445,0.88,0.883,0.425,0.481,-0.2639897033334932,-0.24880580841676303,0.0538824085593461,0.181169796482779,NA
BFA.7_1,Burkina Faso,0.37181791247906,0.573352877188765,0.445,0.88,0.938,0.633,0.676,0.09464652332067984,0.9629039236903524,0.342084605786841,0.685169211627509,NA
BFA.3_1,Burkina Faso,0.124226159814874,0.249259419170099,0.445,0.88,0.923,0.422,0.457,-0.26311738613790225,-0.2008181027091172,0.0327255376824594,0.139669150486241,NA
BFA.4_1,Burkina Faso,0.0431369254002869,0.200011919368935,0.445,0.88,0.921,0.386,0.419,-0.2646539979409968,-0.2256054926634998,0.0342098286468579,0.15334897179888,NA
BFA.5_1,Burkina Faso,0.07122038504984719,0.238931499786556,0.445,0.88,0.898,0.429,0.477,-0.26490352945615436,-0.23345470988390163,0.0557487977877839,0.218613101264455,NA
BFA.6_1,Burkina Faso,0.08258006491360341,0.360950120150274,0.445,0.88,0.954,0.444,0.465,-0.2648898260635108,-0.2359128685217628,0.052208021302013,0.172968760055171,NA
BFA.8_1,Burkina Faso,0.0525772621182198,0.277998270701864,0.445,0.88,0.894,0.326,0.364,-0.2678733798839728,-0.26407642020497857,0.0318118902996538,0.0957380944343217,NA
BFA.9_1,Burkina Faso,0.223220663813151,0.447571664672666,0.445,0.88,0.889,0.467,0.525,-0.255739837632506,-0.21829718784932112,0.125759110462395,0.346605670087032,NA
BFA.10_1,Burkina Faso,0.0548824310166713,0.198429285126433,0.445,0.88,0.898,0.409,0.455,-0.26405194760598916,-0.21780295423536183,0.0573740732625284,0.234032782382062,NA
BFA.11_1,Burkina Faso,0.103205545764877,0.246778724514708,0.445,0.88,0.93,0.419,0.451,-0.25849877824754713,-0.2092343364118528,0.0207190118902228,0.0938865637978648,NA
BFA.12_1,Burkina Faso,0.111562547783171,0.664738087110977,0.445,0.88,0.881,0.258,0.293,-0.26769786159341247,-0.2660150054981776,0.0213630940480953,0.0751492611065649,NA
BFA.13_1,Burkina Faso,0.0518595946572897,0.275953711890014,0.445,0.88,0.847,0.331,0.391,-0.2665632160395565,-0.2525623897037258,0.0526747099890969,0.217507328452895,NA
CIV.1_1,C̫te d'Ivoire,0.509377749354381,0.63639127105334,0.53,0.86,0.908,0.587,0.647,1.0927370882546064,1.922086642992786,0.879547759410715,1,0.646369019291137
CIV.2_1,C̫te d'Ivoire,0.19177336548491905,0.471615231513981,0.53,0.86,0.889,0.475,0.535,-0.24443229837127847,-0.21883578548322016,0.0817625536015839,0.183088527570476,0.404968913963229
CIV.3_1,C̫te d'Ivoire,0.365440500856559,0.749729003543154,0.53,0.86,0.897375022065087,0.5529142019716,0.616826134317084,-0.20995622458511404,-0.22036771859055332,0.121346254267122,0.211766921642049,0.539808111202758
CIV.4_1,C̫te d'Ivoire,0.123532320665341,0.284978571670761,0.53,0.86,0.86,0.436,0.507,-0.2506490471638651,-0.2876371519968669,0.116465360571366,0.281047321536334,0.452670688003989
CIV.5_1,C̫te d'Ivoire,0.303940805041079,0.798029015621697,0.53,0.86,0.884573656741135,0.52348150325124,0.591640336608912,-0.22708829486975607,-0.19797879659056483,0.0660229500029931,0.156723026099568,0.404387388106727
CIV.6_1,C̫te d'Ivoire,0.232543925420775,0.514745684377052,0.53,0.86,0.856,0.497,0.58,-0.2344303480689127,-0.2535456471237958,0.0678003990495013,0.188945849279154,0.432917697069095
CIV.7_1,C̫te d'Ivoire,0.257769206702424,0.524881858204319,0.53,0.86,0.908,0.587,0.647,-0.23356052871284425,-0.23304133549869305,0.0957778135139954,0.183176534260097,0.480594733993831
CIV.8_1,C̫te d'Ivoire,0.127651595704787,0.341442019777788,0.53,0.86,0.867,0.441,0.509,-0.2466916203603343,-0.22049338700509624,0.0515201018579571,0.131263391343967,0.389309144392731
CIV.9_1,C̫te d'Ivoire,0.176354478430489,0.488260810492021,0.53,0.86,0.866,0.474,0.547,-0.23166526390793,-0.2037382593632173,0.0780676074478006,0.183198035770511,0.424894927317043
CIV.10_1,C̫te d'Ivoire,0.18070167025851305,0.452163404930979,0.53,0.86,0.894,0.469,0.524,-0.21963143313162897,-0.259241254357715,0.0929130191198463,0.275930270894563,0.400713774553963
CIV.11_1,C̫te d'Ivoire,0.273668482047159,0.59508834845634,0.53,0.86,0.866,0.505,0.584,-0.21564379503320688,-0.25192675804012915,0.310124106051535,0.747349321823561,0.479090937236372
CIV.12_1,C̫te d'Ivoire,0.112593618689344,0.327085566850457,0.53,0.86,0.86,0.436,0.507,-0.24478770168465996,-0.27353945714486355,0.0378452466041278,0.116139148237156,0.355853107498166
CIV.13_1,C̫te d'Ivoire,0.411070682308165,0.581061614512062,0.53,0.86,0.856,0.497,0.58,-0.03273213670733951,-0.13166578972285092,0.382660599704973,0.848006088567787,0.544539197020382
CIV.14_1,C̫te d'Ivoire,0.181841447794905,0.579982515375145,0.53,0.86,0.862,0.459,0.532,-0.2525349776493897,-0.2778274313753062,0.0548088211595406,0.167006712523822,0.421955749622246
CMR.1_1,Cameroon,0.111058119377579,0.298692312273861,0.581,0.891,0.809,0.44,0.544,-0.2682218402023059,-0.28308297697907964,0.0722823368169025,0.16907950598106,0.446711930019372
CMR.2_1,Cameroon,0.41001293946733297,0.789449121274835,0.581,0.891,0.916,0.626,0.684,-0.2552849015397571,-0.23525296661668796,0.309214984073604,0.381836359875901,0.803483228682051
CMR.3_1,Cameroon,0.1926641739666,0.567354444202258,0.581,0.891,0.867,0.491,0.566,-0.26874883805813987,-0.2934405584538565,0.0878988671026789,0.168318100393251,0.543647231973086
CMR.4_1,Cameroon,0.0427819359986579,0.298130033978857,0.581,0.891,0.796,0.408,0.512,-0.26578161056665683,-0.1894953096993978,0.0485727827379982,0.150309303145744,NA
CMR.5_1,Cameroon,0.53451350697501,0.859113321933304,0.581,0.891,0.933,0.671,0.719,-0.23214227088260647,-0.12723995522322393,0.347112265648087,0.415760191138428,0.821521263338892
CMR.7_1,Cameroon,0.0514770972223563,0.329970751534133,0.581,0.891,0.79,0.397,0.502,-0.26724572162170956,-0.26358041895726586,0.0390322591897671,0.0966169099095805,0.428054499007771
CMR.6_1,Cameroon,0.235114610407193,0.612790318608557,0.581,0.891,0.936,0.533,0.569,-0.266934875013191,-0.1901902958123572,0.0973816652022284,0.134331254550652,0.879517267064925
CMR.8_1,Cameroon,0.26035764775370596,0.597368151528358,0.581,0.891,0.902,0.585,0.649,-0.25947255251874474,-0.17218952003908586,0.135487950057008,0.266116470507109,NA
CMR.10_1,Cameroon,0.246333772167707,0.713636674651217,0.581,0.891,0.904,0.585,0.647,-0.26771033313603537,-0.2846165446425849,0.0737682066469036,0.0956471184392112,NA
CMR.9_1,Cameroon,0.5422441942278869,0.868071179178991,0.581,0.891,0.928,0.638,0.687,-0.2660165393576965,-0.23572592660216876,0.159605741914484,0.188518591660453,0.822623622073255
ETH.1_1,Ethiopia,0.308313382676603,0.526632021459384,0.465,0.893,0.942,0.678,0.72,1.8086161911178176,4.913244067152933,0.64241693729165406,1,0.527224374241099
ETH.2_1,Ethiopia,0.0273150945704644,0.166986125455021,0.465,0.893,0.861,0.384,0.445,-0.2687093474571941,-0.28620528682417534,0.0119296634453678,0.0323008341174162,0.314301871245907
ETH.3_1,Ethiopia,0.0246059011701296,0.253206831640055,0.465,0.893,0.935,0.435,0.465,-0.2667567800696776,-0.187412413142149,0.0120454666529167,0.0353484088530988,0.356555641292149
ETH.4_1,Ethiopia,0.0225221371266797,0.225285161575957,0.465,0.893,0.848,0.421,0.497,-0.2662399106663351,-0.283989005223471,0.0301485510688084,0.0817854940868062,0.364229014448232
ETH.5_1,Ethiopia,0.163225430976604,0.418180626365408,0.465,0.893,0.877,0.514,0.586,-0.1882813887305716,0.04697907522781942,0.260885550593153,0.557840238196372,NA
ETH.6_1,Ethiopia,0.0527375229651519,0.21946888082872,0.465,0.893,0.913,0.52,0.57,-0.269080555704329,-0.28810649309888753,0.0936637350179956,0.249071744543817,0.365192827987425
ETH.7_1,Ethiopia,0.118559592762988,0.310272396102211,0.465,0.893,0.876,0.531,0.606,-0.21082887810336487,0.2372883561228752,0.206774330034168,0.52421911153676,0.397621990787683
ETH.8_1,Ethiopia,0.0253420763853044,0.249040337208068,0.465,0.893,0.877,0.424,0.483,-0.26607970539618303,-0.2075896092498294,0.0440588151963692,0.114547964290963,0.397317054173489
ETH.9_1,Ethiopia,0.0267119479887156,0.186038720693966,0.465,0.893,0.831,0.38,0.458,-0.26888257389123,-0.2860051208610209,0.0178345176623945,0.035132542078059,0.441014480271131
ETH.10_1,Ethiopia,0.0221611361944117,0.38508977830488,0.465,0.893,0.89,0.445,0.5,-0.2656021098568518,-0.1494348914456899,0.0268930861002418,0.080121428462363,0.358947221296411
ETH.11_1,Ethiopia,0.0499788623017145,0.396991168315893,0.465,0.893,0.926,0.476,0.514,-0.2634209625976017,-0.21326117725835,0.0561678853872741,0.140557454990001,0.453972055344285
GAB.1_1,Gabon,0.6783049909626471,0.845779997637912,0.702,0.98,0.906,0.654,0.721,-0.25022946942926577,-0.2540565582462722,0.73722689221192494,1,0.745288068778164
GAB.2_1,Gabon,0.5324044427461501,0.711418064801627,0.702,0.98,0.883,0.644,0.729,-0.2663275785128886,-0.2823578677209172,0.0748175132605502,0.15370706945035,0.621418367628046
GAB.3_1,Gabon,0.469019338060194,0.81898301507332,0.702,0.98,0.892,0.623,0.698,-0.25549203416034194,-0.29641066607624716,0.18332098933833,0.361127820372378,0.601145308502378
GAB.4_1,Gabon,0.42530866140034496,0.879379792296775,0.702,0.98,0.874,0.58,0.664,-0.26236746034774816,-0.2982291874301103,0.0902091025787222,0.205574792275919,0.571610352294062
GAB.5_1,Gabon,0.42690621427234904,0.737272736338073,0.702,0.98,0.853,0.59,0.692,-0.2662220543521239,-0.2988123022180556,0.0582867134556997,0.117950108752719,0.596186261564698
GAB.6_1,Gabon,0.29440994151586003,0.579569865200032,0.702,0.98,0.87,0.552,0.635,-0.26897437173712807,-0.2996807044237344,0.144960243589643,0.390903398219649,0.44842093083162
GAB.7_1,Gabon,0.395392485004026,0.603905268969694,0.702,0.98,0.898,0.6,0.668,-0.2687505381555296,-0.29804462403590315,0.044195630373378,0.0998316538301793,0.508485659581071
GAB.8_1,Gabon,0.6905711849641629,0.864834140608203,0.702,0.98,0.877,0.609,0.694,-0.1518684163594631,-0.29495511993566864,0.677339302097307,0.969673959125614,0.737679817959413
GAB.9_1,Gabon,0.572321438166232,0.915778391822997,0.702,0.98,0.874,0.601,0.688,-0.2682135897626714,-0.29437817825667273,0.10396447009747,0.202959401372755,0.570815079608495
GIN.1_1,Guinea,0.125771473564018,0.418137203394005,0.464,0.905,0.837,0.396,0.473,-0.2609200212595354,-0.272096137386181,0.0550270779605493,0.112450383804768,0.529119726909941
GIN.2_1,Guinea,0.455860773214288,0.729006059357439,0.464,0.905,0.903,0.615,0.681,0.8526359574751226,3.378295601789735,1,1,0.691554333444563
GIN.3_1,Guinea,0.0510665195408662,0.229175132221256,0.464,0.905,0.796,0.354,0.445,-0.26911605728979454,-0.27659426375152457,0.0406188714082443,0.103269664607287,0.51761728002994
GIN.4_1,Guinea,0.079654321900879,0.359612899251659,0.464,0.905,0.812,0.344,0.424,-0.2679783445474124,-0.27378437860991295,0.0848685267164156,0.248174462145002,0.406844188987794
GIN.5_1,Guinea,0.129682907004684,0.442469607281232,0.464,0.905,0.847,0.417,0.492,-0.26042967608712203,-0.2394239906637548,0.0734676771269349,0.152662298415179,0.58721437132877
GIN.6_1,Guinea,0.125206921211816,0.347340896132558,0.464,0.905,0.87,0.372,0.428,-0.26867310688608137,-0.26200100748070815,0.0860396940993319,0.159085149379574,0.964317253036272
GIN.7_1,Guinea,0.0868183268036547,0.227876778572433,0.464,0.905,0.865,0.4,0.463,-0.2667769469439718,-0.2647222721031925,0.127227964112422,0.229997243345734,0.839507551839251
GIN.8_1,Guinea,0.0404726653822036,0.414397268650488,0.464,0.905,0.824,0.403,0.49,-0.26888511672171145,-0.26233310954180533,0.0836454515173579,0.175816992458006,0.554134723040126
GMB.1_1,Gambia,0.7478517695512611,0.89617355310216,0.492,0.93,0.979,0.548,0.56,0.5448453451953325,3.915397206328117,0.677289726625383,1,0.468516826168381
GMB.2_1,Gambia,0.473819536176496,0.844372087147476,0.492,0.93,0.89,0.422,0.474,-0.2665720497766114,-0.2510230852206764,0.0129721547049359,0.0197896289572607,0.904404830412601
GMB.3_1,Gambia,0.293080047704203,0.551460443242819,0.492,0.93,0.908199652762482,0.353602123587141,0.388578845466442,-0.2676075901724865,-0.22932025947780785,0.113039669986738,0.351048616796618,NA
GMB.4_1,Gambia,0.455181696802703,0.715912256656735,0.492,0.93,0.909,0.431,0.473,-0.26413845471018416,-0.2005012051492233,0.0978744836795715,0.31018737044455,0.417761036228711
GMB.5_1,Gambia,0.642891769579406,0.854178122568516,0.492,0.93,0.9,0.407,0.452,-0.2658030743510685,-0.18491444351429945,0.0171463660934769,0.0689620292916185,0.357327837995923
GMB.6_1,Gambia,0.6605040424942019,0.897584801214205,0.492,0.93,0.927,0.508,0.547,-0.1856732665890335,0.2182977417269926,0.118731303158599,0.29866152664183,NA
HTI.1_1,Haiti,0.143808197714268,0.591345453597641,0.552,0.917,0.899,0.454,0.505,-0.26044961120311005,-0.09689585688043084,0.114260842713777,0.153967756744095,0.711124651717368
HTI.2_1,Haiti,0.140120328522989,0.844550740530483,0.552,0.917,0.917,0.478,0.522,-0.2682304627622846,-0.06906583160902612,0.0760640159828137,0.0853863552059278,NA
HTI.3_1,Haiti,0.20802527076741,0.566004903825944,0.552,0.917,0.891,0.471,0.529,-0.26537889890623306,0.04739269859149705,0.140791891304276,0.193323850752243,NA
HTI.4_1,Haiti,0.259604884796237,0.947536987259044,0.552,0.917,0.917,0.478,0.522,-0.26789897200952567,-0.03391373352628698,0.059626059778962,0.0805567001759364,0.677305330068753
HTI.7_1,Haiti,0.250237732213294,0.693476963037862,0.552,0.917,0.917,0.524,0.572,-0.25884777660410285,0.18197123862839928,0.044071317688818,0.0743490989139571,NA
HTI.5_1,Haiti,0.165865581939327,0.486595599576355,0.552,0.917,0.904,0.492,0.545,-0.255226571797709,-0.08161519501808699,0.130868173555765,0.192620618583744,0.691909023477873
HTI.6_1,Haiti,0.190161584387335,0.526407814835662,0.552,0.917,0.913,0.503,0.55,-0.26687505835042763,0.03814140754171418,0.08704044914827,0.126028784528961,0.732479925456353
HTI.8_1,Haiti,0.374419037554471,0.669501775096666,0.552,0.917,0.901,0.534,0.593,-0.21440830008650824,0.5053629286158307,0.21236787954647,0.30165984472118,NA
HTI.10_1,Haiti,0.237468690011984,0.789307518383306,0.552,0.917,0.92,0.499,0.542,-0.2666540071609267,-0.04363720427304109,0.0286321829151131,0.0466476709776691,NA
HTI.9_1,Haiti,0.26038863549879,0.922700064309791,0.552,0.917,0.912,0.486,0.532,-0.2651474301028354,-0.02529273055838289,0.0880413336147761,0.128599260096435,0.738256894701706
IND.1_1,India,0.342252577262688,0.738038553672547,0.638,0.838,0.899,0.662,0.736,-0.24794837152339932,-0.258167010357476,0.214319073658769,0.412184618189585,0.431545293650559
IND.2_1,India,0.1975620732896,0.435622218869081,0.638,0.838,0.848,0.572,0.674,-0.1357773544450769,-0.01368535024505566,0.0749517474351532,0.305280777922715,0.248555680726595
IND.3_1,India,0.549080106832994,0.797255253712642,0.638,0.838,0.864,0.609,0.705,-0.24461237691618704,-0.2666915124074963,0.946007208911683,1,0.571711224749383
IND.4_1,India,0.266376428741516,0.653825999764079,0.638,0.838,0.862,0.544,0.631,-0.16401351297200692,0.09153984636860588,0.210271516215894,0.449047212139781,0.441428060254317
IND.5_1,India,0.190473232019159,0.473797272145494,0.638,0.838,0.798,0.499,0.625,0.04606513804682716,0.8706268630762685,0.096557721665755,0.329571840503779,0.268500959596782
IND.6_1,India,0.686804279281383,0.792782646312731,0.638,0.838,0.898,0.699,0.778,3.8035988823973783,6.468644272241567,0.669945023227595,1,0.406974364591383
